album_id,album_name,release_date,total_tracks,url,album_old
7lqieLm717j9Z8JrG7POkS,I met you when I was 18. (the playlist),2018-05-31,17,https://open.spotify.com/album/7lqieLm717j9Z8JrG7POkS,2161
3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe),2018-06-15,16,https://open.spotify.com/album/3ThQ5dvf9wlqB0C7evh5nH,2146
5C0YLr4OoRGFDaqdMQmkeH,VIDA,2019-02-01,15,https://open.spotify.com/album/5C0YLr4OoRGFDaqdMQmkeH,1915
2Auw0pTT6EcQdvHNimhLQI,V,2014-09-02,12,https://open.spotify.com/album/2Auw0pTT6EcQdvHNimhLQI,3528
623PL2MBg50Br5dLXC9E9e,BLAME IT ON BABY,2020-04-17,13,https://open.spotify.com/album/623PL2MBg50Br5dLXC9E9e,1474
2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),2018-06-15,16,https://open.spotify.com/album/2D0Hi3Jj6RFnpWDcSa0Otu,2146
3yoNZlqerJnsnMN5EDwwBS,Strange Trails,2015-04-07,14,https://open.spotify.com/album/3yoNZlqerJnsnMN5EDwwBS,3311
65ayND23IInUPHJKsaAqe7,TROLLS (Original Motion Picture Soundtrack),2016-09-23,13,https://open.spotify.com/album/65ayND23IInUPHJKsaAqe7,2776
1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low,1985-06-01,10,https://open.spotify.com/album/1ER3B6zev5JEAaqhnyyfbf,14213
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j,3473
3J8W9AOjQhnBLCX33m3atT,Heathens,2016-06-16,1,https://open.spotify.com/album/3J8W9AOjQhnBLCX33m3atT,2875
0S0KGZnfBGSIssfF54WSJh,WHEN WE ALL FALL ASLEEP; WHERE DO WE GO?,2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,1859
6htgf3qv7vGcsdxLCDxKp8,Night Visions,2012-09-04,12,https://open.spotify.com/album/6htgf3qv7vGcsdxLCDxKp8,4256
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),2016-12-09,18,https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC,2699
3kndSWeE2IYOrZEToZrHEV,Nine Track Mind,2016-01-29,12,https://open.spotify.com/album/3kndSWeE2IYOrZEToZrHEV,3014
7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,2018-12-07,7,https://open.spotify.com/album/7dQ734EW0iLvQfF6vBFNiZ,1971
4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,8,https://open.spotify.com/album/4IRiXE5NROxknUSAUSjMoO,1775
1QwWTLYn9dntAj7l9FRJwY,Me 4 U,2015-10-16,14,https://open.spotify.com/album/1QwWTLYn9dntAj7l9FRJwY,3119
6wPXUmYJ9mOWrKlLzZ5cCa,The Game (Deluxe Remastered Version),1980-06-27,15,https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa,16013
3cQO7jp5S9qLBoIVtbkSM1,Blurryface,2015-05-15,14,https://open.spotify.com/album/3cQO7jp5S9qLBoIVtbkSM1,3273
28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness,2015-08-28,14,https://open.spotify.com/album/28ZKQMoNBB0etKXZ97G2SN,3168
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13,19,https://open.spotify.com/album/6Fr2rQkZ383FcMqFyT7yPr,3091
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,2020-09-18,16,https://open.spotify.com/album/26c7MmQ4w8EAvVLb4jilaM,1320
6FdNvoO5sF4EKwCX9je1MH,1000 Forms Of Fear (Deluxe Version),2015-05-04,20,https://open.spotify.com/album/6FdNvoO5sF4EKwCX9je1MH,3284
4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,2018-04-06,13,https://open.spotify.com/album/4KdtEKjY3Gi0mKiSdy96ML,2216
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi,1698
5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU,179
61G7KL6rpj167r6H4CzS8C,A Place We Knew,2019-03-22,12,https://open.spotify.com/album/61G7KL6rpj167r6H4CzS8C,1866
0D7yJonn41qsrIQ7YdWk2z,Nicotine,2020-03-26,10,https://open.spotify.com/album/0D7yJonn41qsrIQ7YdWk2z,1496
2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,2019-07-25,17,https://open.spotify.com/album/2MFS6WG6jnPAgvJpV3PehR,1741
3pEgGUv379EDinvg1TN7Kt,This Is What You Came For,2016-04-29,1,https://open.spotify.com/album/3pEgGUv379EDinvg1TN7Kt,2923
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB,2714
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,557
62U7xIHcID94o20Of5ea4D,Toto IV,1982-04-08,10,https://open.spotify.com/album/62U7xIHcID94o20Of5ea4D,15363
4PNqWiJAfjj32hVvlchV5u,Quevedo: Bzrp Music Sessions; Vol. 52,2022-07-06,1,https://open.spotify.com/album/4PNqWiJAfjj32hVvlchV5u,664
0K4pIOOsfJ9lK8OjrZfXzd,25,2016-06-24,11,https://open.spotify.com/album/0K4pIOOsfJ9lK8OjrZfXzd,2867
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR,2195
3Kmo85mapQ2wTaCAHBkKsK,Cold Water,2016-07-22,1,https://open.spotify.com/album/3Kmo85mapQ2wTaCAHBkKsK,2839
32iAEBstCjauDhyKpGjTuq,=,2021-10-29,14,https://open.spotify.com/album/32iAEBstCjauDhyKpGjTuq,914
7Kmmw7Z5D2UD5MVwdm10sT,Torches,2011-05-23,10,https://open.spotify.com/album/7Kmmw7Z5D2UD5MVwdm10sT,4726
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),2017-06-02,17,https://open.spotify.com/album/01sfgrNbnnPUEyz6GZYlt9,2524
2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),2020-02-08,1,https://open.spotify.com/album/2p9gK2BcdrloHNJwarc9gc,1543
3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,2022-05-06,23,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,725
1nAQbHeOWTfQzbOoFrvndW,Planet Her,2021-06-25,14,https://open.spotify.com/album/1nAQbHeOWTfQzbOoFrvndW,1040
3pHFjWCK7d5YLtEuFwfR5N,54+1,2019-03-22,13,https://open.spotify.com/album/3pHFjWCK7d5YLtEuFwfR5N,1866
6HJDrXs0hpebaRFKA1sF90,ROXANNE,2019-10-10,1,https://open.spotify.com/album/6HJDrXs0hpebaRFKA1sF90,1664
1DF9B2hfwX4EdgEFwGcRwh,Icarus Falls,2018-12-14,29,https://open.spotify.com/album/1DF9B2hfwX4EdgEFwGcRwh,1964
5VML6S956h4YfoYPooqLEi,Fifty Shades Darker (Original Motion Picture Soundtrack),2017-02-10,19,https://open.spotify.com/album/5VML6S956h4YfoYPooqLEi,2636
6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,2018-06-22,11,https://open.spotify.com/album/6ApYSpXF8GxZAgBTHDzYge,2139
28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction,1987-07-21,12,https://open.spotify.com/album/28yHV3Gdg30AiB8h8em1eW,13433
20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe),2015-11-06,22,https://open.spotify.com/album/20Ol6zZ0nLlc5EGTH1zA0j,3098
1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition),2018-11-30,16,https://open.spotify.com/album/1MvF4ulZKH7SaDQs9rE5nc,1978
2bw00gRKNKbTFOqCkohbSh,Silence,2017-08-11,1,https://open.spotify.com/album/2bw00gRKNKbTFOqCkohbSh,2454
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26,16,https://open.spotify.com/album/5CS8E6JVACItYto4OOJoPW,1131
3Wv4X8OA65pGpFzBkuUgAh,DNCE,2016-11-18,14,https://open.spotify.com/album/3Wv4X8OA65pGpFzBkuUgAh,2720
7nEiwcUSwycvC77kZ9ub7c,The Middle,2018-01-23,1,https://open.spotify.com/album/7nEiwcUSwycvC77kZ9ub7c,2289
0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,14,https://open.spotify.com/album/0P3oVJBFOv3TDXlYRhGL7s,3168
1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,25,https://open.spotify.com/album/1ATL5GLyefJaxhQzSPVrLX,2132
