,album_id,album_name,release_date,total_tracks,url,album_old
536,05c49JgPmL4Uz2ZeqRx5SP,Chromatica,2020-05-29,16,https://open.spotify.com/album/05c49JgPmL4Uz2ZeqRx5SP,1411
537,2GFflENKz28RcMoSuulPZC,Roses,2015-06-16,1,https://open.spotify.com/album/2GFflENKz28RcMoSuulPZC,3220
538,5lkNnHVlnCCCV304t89wOH,My House,2015-04-07,7,https://open.spotify.com/album/5lkNnHVlnCCCV304t89wOH,3290
539,2tpWgbBdzjkaJVJzR4T8y1,Promises (with Sam Smith),2018-08-17,1,https://open.spotify.com/album/2tpWgbBdzjkaJVJzR4T8y1,2062
540,3mH6qwIy9crq0I9YQbOuDf,Blonde,2016-08-20,17,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf,2789
541,1m3mf7xkXIwssVriaaTjOS,AVĪCI (01),2017-08-10,6,https://open.spotify.com/album/1m3mf7xkXIwssVriaaTjOS,2434
542,0zMLyv1kNV2B0LDGEK2RbB,Jonas Blue: Electronic Nature - The Mix 2017,2017-07-14,20,https://open.spotify.com/album/0zMLyv1kNV2B0LDGEK2RbB,2461
543,59eUYETmE1zi31ESb3SUkI,Everything Is 4,2015-05-29,11,https://open.spotify.com/album/59eUYETmE1zi31ESb3SUkI,3238
544,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,8,https://open.spotify.com/album/4IRiXE5NROxknUSAUSjMoO,1754
545,4ow6xJwn49gpWz7iHpOzWY,10;000 Hours (with Justin Bieber),2019-10-04,1,https://open.spotify.com/album/4ow6xJwn49gpWz7iHpOzWY,1649
546,22fC2LDiA1zJgUS9ru5GP5,Candy Paint,2017-10-20,1,https://open.spotify.com/album/22fC2LDiA1zJgUS9ru5GP5,2363
547,53fJVD9LpBKEMqdAF7PW5K,Christmas (Deluxe Special Edition),2011-10-24,21,https://open.spotify.com/album/53fJVD9LpBKEMqdAF7PW5K,4551
548,69AaAkdktFGnk9POmHENkT,this is what ____ feels like (Vol. 1-4),2022-09-23,12,https://open.spotify.com/album/69AaAkdktFGnk9POmHENkT,564
549,18Fj7coTfyMi7mEPXIweN7,Don't Play That Song (Mono),1962-08-20,12,https://open.spotify.com/album/18Fj7coTfyMi7mEPXIweN7,22513
550,6MuWCR3WPjwyKhqsTKLZ3z,Feel Something,2017-06-23,12,https://open.spotify.com/album/6MuWCR3WPjwyKhqsTKLZ3z,2482
551,52AeC4gwbxDfFlLHgK1ByD,Urban Hymns (Remastered 2016),1997-09-29,13,https://open.spotify.com/album/52AeC4gwbxDfFlLHgK1ByD,9689
552,5LZSpPoBVBsh6kRSEKfPQ8,Get You The Moon (feat. Snøw),2018-10-08,1,https://open.spotify.com/album/5LZSpPoBVBsh6kRSEKfPQ8,2010
553,6Vip5A5NmEazvKuxj6GLYf,Only Human (Deluxe),2018-03-09,14,https://open.spotify.com/album/6Vip5A5NmEazvKuxj6GLYf,2223
554,5WjaIWthUR3AjA0UYG3jR5,Freaks,2021-05-15,1,https://open.spotify.com/album/5WjaIWthUR3AjA0UYG3jR5,1060
555,1lM5IfaqcIsXd6UCV3aDSs,Settle (Deluxe),2013-06-03,16,https://open.spotify.com/album/1lM5IfaqcIsXd6UCV3aDSs,3963
556,0S0KGZnfBGSIssfF54WSJh,WHEN WE ALL FALL ASLEEP; WHERE DO WE GO?,2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,1838
557,3cf4iSSKd8ffTncbtKljXw,Honestly; Nevermind,2022-06-17,14,https://open.spotify.com/album/3cf4iSSKd8ffTncbtKljXw,662
558,5G7go9EeotMk9RfLETBDgJ,Call On Me (Remixes),2016-10-18,5,https://open.spotify.com/album/5G7go9EeotMk9RfLETBDgJ,2730
559,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),2014-06-21,16,https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd,3580
560,4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB,2693
561,0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04,58,https://open.spotify.com/album/0BwWUstDMUbgq2NYONRqlu,17231
562,6Ps0kbvAjuz75uK0uuZzWa,Prayer in C,2014-05-16,2,https://open.spotify.com/album/6Ps0kbvAjuz75uK0uuZzWa,3616
563,4EBtalKeisyblXwox9mMXf,Up From Below,2009-07-14,13,https://open.spotify.com/album/4EBtalKeisyblXwox9mMXf,5383
564,2f7kOrpFos0njurSOi2zqL,No Money,2016-04-01,1,https://open.spotify.com/album/2f7kOrpFos0njurSOi2zqL,2930
565,7l4LGPXk2mB80WgXy4VeuB,Waves (Robin Schulz Radio Edit),2014-02-07,1,https://open.spotify.com/album/7l4LGPXk2mB80WgXy4VeuB,3714
566,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,16,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,1355
567,2dBgWXp41imu2zBNv9oFxZ,Fénix,2017-01-20,26,https://open.spotify.com/album/2dBgWXp41imu2zBNv9oFxZ,2636
